status_loading "Loading"
phaseStatus_confiscate  "UN inspection"
phaseSubStatus_confiscate  "Inspector confiscates diamonds"


phaseStatus_buyDiamonds  "Collecting diamonds"
phaseSubStatus_buyDiamonds  "Guides help highest payer get diamonds"


phaseStatus_sellDiamonds  "Sell diamonds"
phaseStatus_sellPeek  "Bribed units reveal sale"
phaseSubStatus_sellDiamonds  "Pick number to sell on market (or touch Done)"
phaseSubStatus_sellDiamondsAdjust  "Adjust sale?  Pick new quanity (or touch Done)"
phaseSubStatus_sellDiamondsNone "You have none to sell (touch Done when ready)"

phaseSubStatus_sellDiamondsPicture "Enter vault to remove diamonds"


phaseStatus_flyHome   "Final trip home"
phaseSubStatus_flyHome   "Time to get out of Angola"


phaseStatus_youWin       "You win"
phaseStatus_opponentWins "You lose"
phaseStatus_tie "Tie game"

phaseSubStatus_playAgainWait  "Waiting for host to play again..." 



credit_1a "INDIEPUB"
credit_1b "presents"


credit_2a "a game by"
credit_2b "JASON ROHRER"


credit_3a "with interactive music by"
credit_3b "TOM BAILEY"





help_aiLevel "A game involving deception is best played against another human.  The AI provides a reasonable practice opponent, allowing you to learn the game at your own pace before you face a friend.  The AI's skill at lower levels is good but not great, since reasoning about incomplete information requires quite a bit of probabilistic simulation.  Higher levels allow the AI to consider more candidate moves before picking one.  For example, at level 10, ten times more moves are considered, taking ten times as long."



help_payAgents  "You can pay salary to your agents when they are at home in London.  You can bribe opponent agents when your agents meet them out in the field.  Paying your agents salary keeps them loyal in the face of your opponent's bribes.  If total bribes to an agent exceed total salary, that agent will become loyal to the other side and start quietly revealing secret information (like move destinations and diamond payments).  How do you find out if one of your agents has been successfully bribed?  Bribe the briber."



help_moveUnits  "In an Angola region, you can pay the diamond guide.  He will accept money from both players, but he gives all diamonds to the player that pays more.  If players tie, the diamonds stay in that region.  The UN Inspector blocks diamond sales and confiscates agents' diamonds.  If you fly into his region, you can bribe him to move to a different region.  He also accepts money from both players but only obeys the one that pays more.  Fly agents home to drop off their diamonds.  Trips inside Angola are cheaper than international trips."


help_moveUnitsPeek  "Units that have been successfully bribed reveal their destinations, diamond payments, and UN Inspector bribes to the other side.  You have a chance to adjust your move now that this information has been revealed.  If you opponent is aware of bribes, your opponent has the same chance to adjust.  Adjusted moves are final and are not revealed to the other side before being executed."



help_moveInspector  "When a player successfully bribes the UN Inspector (by paying a larger bribe than the opponent pays him that turn), that player can send him to a different region.  When the Inspector reaches the new region, he immediately confiscates any diamonds held by agents there and blocks the pending diamond sale.  Players still pay what they have offered for the diamonds, but the diamonds remain in that region."



help_sellDiamonds  "The money you earn from selling diamonds depends on the total number sold by both players.  More diamonds put on the market means that each one is worth less, and $24 total is available each month.  Players split that amount based on each player's fraction of the total sold.  However, Diamond Trust wants to keep diamonds off the market.  If a player sells no diamonds at all, that player gets a flat $18 kickback no matter what the other player sells."


help_sellDiamondsPeek  "A bribed unit in a home region reveals the number of diamonds to be sold.  You have a chance to adjust your number to sell now that this information has been revealed.  Adjusted moves are final and are not revealed to the other side before being executed.  Note that a bribed unit at home also reveals a player's money balance to the other side."
